i name total_amount reward type
<<<<<<< HEAD
0 Randy 186290.18719101878 0 Allgame
0 Stealer 242417.7631669299 0 Allgame
0 GP_agent_1 176745.49617387546 1888 Allgame
0 Pretender 209485.1174824628 0 Allgame
0 Karmine 132448.58844508135 0 Allgame
0 Opportunist 127815.72371712491 0 Allgame
0 Splitter 120188.46424999397 0 Allgame
1 Randy 186373.24898553576 0 Allgame
1 Karmine 132712.17524102773 0 Allgame
1 Pretender 208961.7505694185 0 Allgame
1 GP_agent_1 171894.68607514267 1770 Allgame
1 Opportunist 128742.14626000404 0 Allgame
1 Stealer 241791.33825102582 0 Allgame
1 Splitter 119136.00221303919 0 Allgame
2 Opportunist 127268.18256912148 0 Allgame
2 Splitter 118846.52292672404 0 Allgame
2 Stealer 239979.3102241238 0 Allgame
2 Karmine 133911.3384835869 0 Allgame
2 Randy 178685.35170883097 0 Allgame
2 GP_agent_1 186294.66817292522 1999 Allgame
2 Pretender 212868.87883375815 0 Allgame
3 Splitter 117473.7962844401 0 Allgame
3 Stealer 247935.97946086724 0 Allgame
3 GP_agent_1 186537.42659278007 1933 Allgame
3 Karmine 132738.51736767797 0 Allgame
3 Randy 181302.5890553284 0 Allgame
3 Opportunist 127557.52883072406 0 Allgame
3 Pretender 204580.28494399626 0 Allgame
4 Stealer 241649.99855573504 0 Allgame
4 Opportunist 128536.6186251873 0 Allgame
4 Pretender 211056.1471331403 0 Allgame
4 Splitter 122562.5465552654 0 Allgame
4 Karmine 137091.15882394306 0 Allgame
4 Randy 176524.4298283304 0 Allgame
4 GP_agent_1 177490.28722424756 1876 Allgame
5 Pretender 205197.43666861317 0 Allgame
5 Opportunist 125923.928328425 0 Allgame
5 Randy 185805.78818287773 0 Allgame
5 Splitter 116517.40925553616 0 Allgame
5 Stealer 241957.00257789934 0 Allgame
5 GP_agent_1 175047.64244221113 1790 Allgame
5 Karmine 135434.9381485302 0 Allgame
6 Stealer 245715.3609352019 0 Allgame
6 Opportunist 126483.96923643695 0 Allgame
6 Splitter 120339.60722452895 0 Allgame
6 GP_agent_1 175479.7072349992 1829 Allgame
6 Randy 181652.85374407528 0 Allgame
6 Pretender 208460.64389323757 0 Allgame
6 Karmine 137435.40175726402 0 Allgame
7 Opportunist 128894.91258630491 0 Allgame
7 Karmine 134953.12288866678 0 Allgame
7 GP_agent_1 180036.52827346738 1919 Allgame
7 Splitter 119217.41882078891 0 Allgame
7 Randy 180719.4832613249 0 Allgame
7 Stealer 238468.4081648207 0 Allgame
7 Pretender 212627.48784884665 0 Allgame
8 GP_agent_1 180087.03919417874 1882 Allgame
8 Karmine 136645.6925890928 0 Allgame
8 Splitter 118798.9971605407 0 Allgame
8 Stealer 241368.0364077394 0 Allgame
8 Randy 187713.13824746181 0 Allgame
8 Pretender 207784.17856089686 0 Allgame
8 Opportunist 128257.0764014639 0 Allgame
9 Opportunist 126737.01422142173 0 Allgame
9 GP_agent_1 179579.4998593237 1939 Allgame
9 Splitter 116198.48253552064 0 Allgame
9 Karmine 133860.8140526637 0 Allgame
9 Randy 178162.6688057019 0 Allgame
9 Pretender 208439.35609724035 0 Allgame
9 Stealer 239181.14134411528 0 Allgame
0 Karmine 145186.66762317353 0 Simple
0 GP_agent_1 89807.91353795516 934 Simple
0 Karmine 145186.66762317353 0 Simple
0 SimpleRL 118325.20840274832 0 Simple
1 SimpleRL 105413.46945745878 0 Simple
1 GP_agent_1 95554.75076497959 1045 Simple
1 Karmine 137795.9853863325 0 Simple
1 Karmine 137795.9853863325 0 Simple
2 Karmine 132292.93589427604 0 Simple
2 SimpleRL 97514.83459432404 0 Simple
2 GP_agent_1 88047.25642725799 910 Simple
2 Karmine 132292.93589427604 0 Simple
3 Karmine 143725.94740581868 0 Simple
3 Karmine 143725.94740581868 0 Simple
3 SimpleRL 107197.07840529011 0 Simple
3 GP_agent_1 80610.71858644387 878 Simple
4 Karmine 143669.63327667458 0 Simple
4 SimpleRL 121771.55893406275 0 Simple
4 GP_agent_1 95314.38192179806 1041 Simple
4 Karmine 143669.63327667458 0 Simple
5 Karmine 159499.88404526818 0 Simple
5 GP_agent_1 88377.57359198824 958 Simple
5 SimpleRL 119368.1631686699 0 Simple
5 Karmine 159499.88404526818 0 Simple
6 SimpleRL 105343.52078718694 0 Simple
6 Karmine 145466.31670926613 0 Simple
6 GP_agent_1 90187.67714171598 966 Simple
6 Karmine 145466.31670926613 0 Simple
7 Karmine 142648.7678437094 0 Simple
7 GP_agent_1 97189.4002442571 1075 Simple
7 SimpleRL 107393.50289242924 0 Simple
7 Karmine 142648.7678437094 0 Simple
8 Karmine 129849.85227442483 0 Simple
8 GP_agent_1 74195.42501046126 616 Simple
8 SimpleRL 72054.37472948614 0 Simple
8 Karmine 129849.85227442483 0 Simple
9 Karmine 141690.03597617123 0 Simple
9 SimpleRL 109948.24655417382 0 Simple
9 Karmine 141690.03597617123 0 Simple
9 GP_agent_1 89318.29878238973 987 Simple
0 GP_agent_3 83507.7920882089 839 Difficult
0 GP_agent_1 82609.05032004762 750 Difficult
0 GP_agent_2 76665.77762753113 670 Difficult
0 SimpleRL 83688.83508439394 0 Difficult
1 SimpleRL 85364.57738697027 0 Difficult
1 GP_agent_3 84503.22195603214 843 Difficult
1 GP_agent_2 75040.70946591005 637 Difficult
1 GP_agent_1 86120.95979035199 844 Difficult
2 GP_agent_1 87009.42779388074 862 Difficult
2 SimpleRL 84412.62320811697 0 Difficult
2 GP_agent_2 76404.42848700227 658 Difficult
2 GP_agent_3 81067.91525937292 772 Difficult
3 GP_agent_3 87810.56005259478 904 Difficult
3 GP_agent_1 88121.51650999015 873 Difficult
3 GP_agent_2 76488.6668587815 638 Difficult
3 SimpleRL 81990.69760480236 0 Difficult
4 GP_agent_2 72378.515117309 628 Difficult
4 GP_agent_3 79641.64987270093 786 Difficult
4 SimpleRL 89932.58771771197 0 Difficult
4 GP_agent_1 80834.58780928957 785 Difficult
5 GP_agent_1 73583.41669752228 602 Difficult
5 GP_agent_3 70449.26199747386 596 Difficult
5 SimpleRL 92102.10102143475 0 Difficult
5 GP_agent_2 73324.50079376018 558 Difficult
6 GP_agent_2 73478.94106805694 650 Difficult
